id,name,category,equipment,primary_muscle,secondary_muscles,difficulty,movement_pattern,instructions,video_url
259,Shoulders Variation 254,secondary_compound,barbell,shoulders,glutes|quads,intermediate,carry,Perform controlled reps for shoulders focus.,
260,Arms Variation 255,isolation,dumbbell,arms,hamstrings|calves,advanced,rotation,Perform controlled reps for arms focus.,
261,Core Variation 256,core,cable,core,quads|chest,beginner,brace,Perform controlled reps for core focus.,
262,Glutes Variation 257,compound,machine,glutes,calves|back,intermediate,push,Perform controlled reps for glutes focus.,
263,Hamstrings Variation 258,secondary_compound,kettlebell,hamstrings,chest|legs,advanced,pull,Perform controlled reps for hamstrings focus.,
264,Quads Variation 259,isolation,resistance_band,quads,back|shoulders,beginner,squat,Perform controlled reps for quads focus.,
265,Calves Variation 260,core,none,calves,legs|arms,intermediate,hinge,Perform controlled reps for calves focus.,
266,Chest Variation 261,compound,barbell,chest,shoulders|core,advanced,lunge,Perform controlled reps for chest focus.,
267,Back Variation 262,secondary_compound,dumbbell,back,arms|glutes,beginner,carry,Perform controlled reps for back focus.,
268,Legs Variation 263,isolation,cable,legs,core|hamstrings,intermediate,rotation,Perform controlled reps for legs focus.,
269,Shoulders Variation 264,core,machine,shoulders,glutes|quads,advanced,brace,Perform controlled reps for shoulders focus.,
270,Arms Variation 265,compound,kettlebell,arms,hamstrings|calves,beginner,push,Perform controlled reps for arms focus.,
271,Core Variation 266,secondary_compound,resistance_band,core,quads|chest,intermediate,pull,Perform controlled reps for core focus.,
272,Glutes Variation 267,isolation,none,glutes,calves|back,advanced,squat,Perform controlled reps for glutes focus.,
273,Hamstrings Variation 268,core,barbell,hamstrings,chest|legs,beginner,hinge,Perform controlled reps for hamstrings focus.,
274,Quads Variation 269,compound,dumbbell,quads,back|shoulders,intermediate,lunge,Perform controlled reps for quads focus.,
275,Calves Variation 270,secondary_compound,cable,calves,legs|arms,advanced,carry,Perform controlled reps for calves focus.,
276,Chest Variation 271,isolation,machine,chest,shoulders|core,beginner,rotation,Perform controlled reps for chest focus.,
277,Back Variation 272,core,kettlebell,back,arms|glutes,intermediate,brace,Perform controlled reps for back focus.,
278,Legs Variation 273,compound,resistance_band,legs,core|hamstrings,advanced,push,Perform controlled reps for legs focus.,
279,Shoulders Variation 274,secondary_compound,none,shoulders,glutes|quads,beginner,pull,Perform controlled reps for shoulders focus.,
280,Arms Variation 275,isolation,barbell,arms,hamstrings|calves,intermediate,squat,Perform controlled reps for arms focus.,
281,Core Variation 276,core,dumbbell,core,quads|chest,advanced,hinge,Perform controlled reps for core focus.,
282,Glutes Variation 277,compound,cable,glutes,calves|back,beginner,lunge,Perform controlled reps for glutes focus.,
283,Hamstrings Variation 278,secondary_compound,machine,hamstrings,chest|legs,intermediate,carry,Perform controlled reps for hamstrings focus.,
284,Quads Variation 279,isolation,kettlebell,quads,back|shoulders,advanced,rotation,Perform controlled reps for quads focus.,
285,Calves Variation 280,core,resistance_band,calves,legs|arms,beginner,brace,Perform controlled reps for calves focus.,
286,Chest Variation 281,compound,none,chest,shoulders|core,intermediate,push,Perform controlled reps for chest focus.,
287,Back Variation 282,secondary_compound,barbell,back,arms|glutes,advanced,pull,Perform controlled reps for back focus.,
288,Legs Variation 283,isolation,dumbbell,legs,core|hamstrings,beginner,squat,Perform controlled reps for legs focus.,
289,Shoulders Variation 284,core,cable,shoulders,glutes|quads,intermediate,hinge,Perform controlled reps for shoulders focus.,
290,Arms Variation 285,compound,machine,arms,hamstrings|calves,advanced,lunge,Perform controlled reps for arms focus.,
291,Core Variation 286,secondary_compound,kettlebell,core,quads|chest,beginner,carry,Perform controlled reps for core focus.,
292,Glutes Variation 287,isolation,resistance_band,glutes,calves|back,intermediate,rotation,Perform controlled reps for glutes focus.,
293,Hamstrings Variation 288,core,none,hamstrings,chest|legs,advanced,brace,Perform controlled reps for hamstrings focus.,
294,Quads Variation 289,compound,barbell,quads,back|shoulders,beginner,push,Perform controlled reps for quads focus.,
295,Calves Variation 290,secondary_compound,dumbbell,calves,legs|arms,intermediate,pull,Perform controlled reps for calves focus.,
296,Chest Variation 291,isolation,cable,chest,shoulders|core,advanced,squat,Perform controlled reps for chest focus.,
297,Back Variation 292,core,machine,back,arms|glutes,beginner,hinge,Perform controlled reps for back focus.,
298,Legs Variation 293,compound,kettlebell,legs,core|hamstrings,intermediate,lunge,Perform controlled reps for legs focus.,
299,Shoulders Variation 294,secondary_compound,resistance_band,shoulders,glutes|quads,advanced,carry,Perform controlled reps for shoulders focus.,
300,Arms Variation 295,isolation,none,arms,hamstrings|calves,beginner,rotation,Perform controlled reps for arms focus.,
301,Core Variation 296,core,barbell,core,quads|chest,intermediate,brace,Perform controlled reps for core focus.,
302,Glutes Variation 297,compound,dumbbell,glutes,calves|back,advanced,push,Perform controlled reps for glutes focus.,
303,Hamstrings Variation 298,secondary_compound,cable,hamstrings,chest|legs,beginner,pull,Perform controlled reps for hamstrings focus.,
304,Quads Variation 299,isolation,machine,quads,back|shoulders,intermediate,squat,Perform controlled reps for quads focus.,
305,Calves Variation 300,core,kettlebell,calves,legs|arms,advanced,hinge,Perform controlled reps for calves focus.,
306,Chest Variation 301,compound,resistance_band,chest,shoulders|core,beginner,lunge,Perform controlled reps for chest focus.,
307,Back Variation 302,secondary_compound,none,back,arms|glutes,intermediate,carry,Perform controlled reps for back focus.,
308,Legs Variation 303,isolation,barbell,legs,core|hamstrings,advanced,rotation,Perform controlled reps for legs focus.,
309,Shoulders Variation 304,core,dumbbell,shoulders,glutes|quads,beginner,brace,Perform controlled reps for shoulders focus.,
310,Arms Variation 305,compound,cable,arms,hamstrings|calves,intermediate,push,Perform controlled reps for arms focus.,
311,Core Variation 306,secondary_compound,machine,core,quads|chest,advanced,pull,Perform controlled reps for core focus.,
312,Glutes Variation 307,isolation,kettlebell,glutes,calves|back,beginner,squat,Perform controlled reps for glutes focus.,
313,Hamstrings Variation 308,core,resistance_band,hamstrings,chest|legs,intermediate,hinge,Perform controlled reps for hamstrings focus.,
314,Quads Variation 309,compound,none,quads,back|shoulders,advanced,lunge,Perform controlled reps for quads focus.,
315,Calves Variation 310,secondary_compound,barbell,calves,legs|arms,beginner,carry,Perform controlled reps for calves focus.,
316,Chest Variation 311,isolation,dumbbell,chest,shoulders|core,intermediate,rotation,Perform controlled reps for chest focus.,
317,Back Variation 312,core,cable,back,arms|glutes,advanced,brace,Perform controlled reps for back focus.,
318,Legs Variation 313,compound,machine,legs,core|hamstrings,beginner,push,Perform controlled reps for legs focus.,
319,Shoulders Variation 314,secondary_compound,kettlebell,shoulders,glutes|quads,intermediate,pull,Perform controlled reps for shoulders focus.,
320,Arms Variation 315,isolation,resistance_band,arms,hamstrings|calves,advanced,squat,Perform controlled reps for arms focus.,
321,Core Variation 316,core,none,core,quads|chest,beginner,hinge,Perform controlled reps for core focus.,
322,Glutes Variation 317,compound,barbell,glutes,calves|back,intermediate,lunge,Perform controlled reps for glutes focus.,
323,Hamstrings Variation 318,secondary_compound,dumbbell,hamstrings,chest|legs,advanced,carry,Perform controlled reps for hamstrings focus.,
324,Quads Variation 319,isolation,cable,quads,back|shoulders,beginner,rotation,Perform controlled reps for quads focus.,
325,Calves Variation 320,core,machine,calves,legs|arms,intermediate,brace,Perform controlled reps for calves focus.,
326,Chest Variation 321,compound,kettlebell,chest,shoulders|core,advanced,push,Perform controlled reps for chest focus.,
327,Back Variation 322,secondary_compound,resistance_band,back,arms|glutes,beginner,pull,Perform controlled reps for back focus.,
328,Legs Variation 323,isolation,none,legs,core|hamstrings,intermediate,squat,Perform controlled reps for legs focus.,
329,Shoulders Variation 324,core,barbell,shoulders,glutes|quads,advanced,hinge,Perform controlled reps for shoulders focus.,
330,Arms Variation 325,compound,dumbbell,arms,hamstrings|calves,beginner,lunge,Perform controlled reps for arms focus.,
331,Core Variation 326,secondary_compound,cable,core,quads|chest,intermediate,carry,Perform controlled reps for core focus.,
332,Glutes Variation 327,isolation,machine,glutes,calves|back,advanced,rotation,Perform controlled reps for glutes focus.,
333,Hamstrings Variation 328,core,kettlebell,hamstrings,chest|legs,beginner,brace,Perform controlled reps for hamstrings focus.,
334,Quads Variation 329,compound,resistance_band,quads,back|shoulders,intermediate,push,Perform controlled reps for quads focus.,
335,Calves Variation 330,secondary_compound,none,calves,legs|arms,advanced,pull,Perform controlled reps for calves focus.,
336,Chest Variation 331,isolation,barbell,chest,shoulders|core,beginner,squat,Perform controlled reps for chest focus.,
337,Back Variation 332,core,dumbbell,back,arms|glutes,intermediate,hinge,Perform controlled reps for back focus.,
338,Legs Variation 333,compound,cable,legs,core|hamstrings,advanced,lunge,Perform controlled reps for legs focus.,
339,Shoulders Variation 334,secondary_compound,machine,shoulders,glutes|quads,beginner,carry,Perform controlled reps for shoulders focus.,
340,Arms Variation 335,isolation,kettlebell,arms,hamstrings|calves,intermediate,rotation,Perform controlled reps for arms focus.,
341,Core Variation 336,core,resistance_band,core,quads|chest,advanced,brace,Perform controlled reps for core focus.,
342,Glutes Variation 337,compound,none,glutes,calves|back,beginner,push,Perform controlled reps for glutes focus.,
343,Hamstrings Variation 338,secondary_compound,barbell,hamstrings,chest|legs,intermediate,pull,Perform controlled reps for hamstrings focus.,
344,Quads Variation 339,isolation,dumbbell,quads,back|shoulders,advanced,squat,Perform controlled reps for quads focus.,
345,Calves Variation 340,core,cable,calves,legs|arms,beginner,hinge,Perform controlled reps for calves focus.,
346,Chest Variation 341,compound,machine,chest,shoulders|core,intermediate,lunge,Perform controlled reps for chest focus.,
347,Back Variation 342,secondary_compound,kettlebell,back,arms|glutes,advanced,carry,Perform controlled reps for back focus.,
348,Legs Variation 343,isolation,resistance_band,legs,core|hamstrings,beginner,rotation,Perform controlled reps for legs focus.,
349,Shoulders Variation 344,core,none,shoulders,glutes|quads,intermediate,brace,Perform controlled reps for shoulders focus.,
350,Arms Variation 345,compound,barbell,arms,hamstrings|calves,advanced,push,Perform controlled reps for arms focus.,
351,Core Variation 346,secondary_compound,dumbbell,core,quads|chest,beginner,pull,Perform controlled reps for core focus.,
352,Glutes Variation 347,isolation,cable,glutes,calves|back,intermediate,squat,Perform controlled reps for glutes focus.,
353,Hamstrings Variation 348,core,machine,hamstrings,chest|legs,advanced,hinge,Perform controlled reps for hamstrings focus.,
354,Quads Variation 349,compound,kettlebell,quads,back|shoulders,beginner,lunge,Perform controlled reps for quads focus.,
355,Calves Variation 350,secondary_compound,resistance_band,calves,legs|arms,intermediate,carry,Perform controlled reps for calves focus.,
356,Chest Variation 351,isolation,none,chest,shoulders|core,advanced,rotation,Perform controlled reps for chest focus.,
357,Back Variation 352,core,barbell,back,arms|glutes,beginner,brace,Perform controlled reps for back focus.,
358,Legs Variation 353,compound,dumbbell,legs,core|hamstrings,intermediate,push,Perform controlled reps for legs focus.,
359,Shoulders Variation 354,secondary_compound,cable,shoulders,glutes|quads,advanced,pull,Perform controlled reps for shoulders focus.,
360,Arms Variation 355,isolation,machine,arms,hamstrings|calves,beginner,squat,Perform controlled reps for arms focus.,
361,Core Variation 356,core,kettlebell,core,quads|chest,intermediate,hinge,Perform controlled reps for core focus.,
362,Glutes Variation 357,compound,resistance_band,glutes,calves|back,advanced,lunge,Perform controlled reps for glutes focus.,
363,Hamstrings Variation 358,secondary_compound,none,hamstrings,chest|legs,beginner,carry,Perform controlled reps for hamstrings focus.,
364,Quads Variation 359,isolation,barbell,quads,back|shoulders,intermediate,rotation,Perform controlled reps for quads focus.,
365,Calves Variation 360,core,dumbbell,calves,legs|arms,advanced,brace,Perform controlled reps for calves focus.,
366,Chest Variation 361,compound,cable,chest,shoulders|core,beginner,push,Perform controlled reps for chest focus.,
367,Back Variation 362,secondary_compound,machine,back,arms|glutes,intermediate,pull,Perform controlled reps for back focus.,
368,Legs Variation 363,isolation,kettlebell,legs,core|hamstrings,advanced,squat,Perform controlled reps for legs focus.,
369,Shoulders Variation 364,core,resistance_band,shoulders,glutes|quads,beginner,hinge,Perform controlled reps for shoulders focus.,
370,Arms Variation 365,compound,none,arms,hamstrings|calves,intermediate,lunge,Perform controlled reps for arms focus.,
371,Core Variation 366,secondary_compound,barbell,core,quads|chest,advanced,carry,Perform controlled reps for core focus.,
372,Glutes Variation 367,isolation,dumbbell,glutes,calves|back,beginner,rotation,Perform controlled reps for glutes focus.,
373,Hamstrings Variation 368,core,cable,hamstrings,chest|legs,intermediate,brace,Perform controlled reps for hamstrings focus.,
374,Quads Variation 369,compound,machine,quads,back|shoulders,advanced,push,Perform controlled reps for quads focus.,
375,Calves Variation 370,secondary_compound,kettlebell,calves,legs|arms,beginner,pull,Perform controlled reps for calves focus.,
376,Chest Variation 371,isolation,resistance_band,chest,shoulders|core,intermediate,squat,Perform controlled reps for chest focus.,
377,Back Variation 372,core,none,back,arms|glutes,advanced,hinge,Perform controlled reps for back focus.,
378,Legs Variation 373,compound,barbell,legs,core|hamstrings,beginner,lunge,Perform controlled reps for legs focus.,
379,Shoulders Variation 374,secondary_compound,dumbbell,shoulders,glutes|quads,intermediate,carry,Perform controlled reps for shoulders focus.,
380,Arms Variation 375,isolation,cable,arms,hamstrings|calves,advanced,rotation,Perform controlled reps for arms focus.,
381,Core Variation 376,core,machine,core,quads|chest,beginner,brace,Perform controlled reps for core focus.,
382,Glutes Variation 377,compound,kettlebell,glutes,calves|back,intermediate,push,Perform controlled reps for glutes focus.,
383,Hamstrings Variation 378,secondary_compound,resistance_band,hamstrings,chest|legs,advanced,pull,Perform controlled reps for hamstrings focus.,
384,Quads Variation 379,isolation,none,quads,back|shoulders,beginner,squat,Perform controlled reps for quads focus.,
385,Calves Variation 380,core,barbell,calves,legs|arms,intermediate,hinge,Perform controlled reps for calves focus.,
386,Chest Variation 381,compound,dumbbell,chest,shoulders|core,advanced,lunge,Perform controlled reps for chest focus.,
387,Back Variation 382,secondary_compound,cable,back,arms|glutes,beginner,carry,Perform controlled reps for back focus.,
388,Legs Variation 383,isolation,machine,legs,core|hamstrings,intermediate,rotation,Perform controlled reps for legs focus.,
389,Shoulders Variation 384,core,kettlebell,shoulders,glutes|quads,advanced,brace,Perform controlled reps for shoulders focus.,
390,Arms Variation 385,compound,resistance_band,arms,hamstrings|calves,beginner,push,Perform controlled reps for arms focus.,
391,Core Variation 386,secondary_compound,none,core,quads|chest,intermediate,pull,Perform controlled reps for core focus.,
392,Glutes Variation 387,isolation,barbell,glutes,calves|back,advanced,squat,Perform controlled reps for glutes focus.,
393,Hamstrings Variation 388,core,dumbbell,hamstrings,chest|legs,beginner,hinge,Perform controlled reps for hamstrings focus.,
394,Quads Variation 389,compound,cable,quads,back|shoulders,intermediate,lunge,Perform controlled reps for quads focus.,
395,Calves Variation 390,secondary_compound,machine,calves,legs|arms,advanced,carry,Perform controlled reps for calves focus.,
396,Chest Variation 391,isolation,kettlebell,chest,shoulders|core,beginner,rotation,Perform controlled reps for chest focus.,
397,Back Variation 392,core,resistance_band,back,arms|glutes,intermediate,brace,Perform controlled reps for back focus.,
398,Legs Variation 393,compound,none,legs,core|hamstrings,advanced,push,Perform controlled reps for legs focus.,
399,Shoulders Variation 394,secondary_compound,barbell,shoulders,glutes|quads,beginner,pull,Perform controlled reps for shoulders focus.,
400,Arms Variation 395,isolation,dumbbell,arms,hamstrings|calves,intermediate,squat,Perform controlled reps for arms focus.,
401,Core Variation 396,core,cable,core,quads|chest,advanced,hinge,Perform controlled reps for core focus.,
402,Glutes Variation 397,compound,machine,glutes,calves|back,beginner,lunge,Perform controlled reps for glutes focus.,
403,Hamstrings Variation 398,secondary_compound,kettlebell,hamstrings,chest|legs,intermediate,carry,Perform controlled reps for hamstrings focus.,
404,Quads Variation 399,isolation,resistance_band,quads,back|shoulders,advanced,rotation,Perform controlled reps for quads focus.,
405,Calves Variation 400,core,none,calves,legs|arms,beginner,brace,Perform controlled reps for calves focus.,
406,Chest Variation 401,compound,barbell,chest,shoulders|core,intermediate,push,Perform controlled reps for chest focus.,
407,Back Variation 402,secondary_compound,dumbbell,back,arms|glutes,advanced,pull,Perform controlled reps for back focus.,
408,Legs Variation 403,isolation,cable,legs,core|hamstrings,beginner,squat,Perform controlled reps for legs focus.,
409,Shoulders Variation 404,core,machine,shoulders,glutes|quads,intermediate,hinge,Perform controlled reps for shoulders focus.,
410,Arms Variation 405,compound,kettlebell,arms,hamstrings|calves,advanced,lunge,Perform controlled reps for arms focus.,
411,Core Variation 406,secondary_compound,resistance_band,core,quads|chest,beginner,carry,Perform controlled reps for core focus.,
412,Glutes Variation 407,isolation,none,glutes,calves|back,intermediate,rotation,Perform controlled reps for glutes focus.,
413,Hamstrings Variation 408,core,barbell,hamstrings,chest|legs,advanced,brace,Perform controlled reps for hamstrings focus.,
414,Quads Variation 409,compound,dumbbell,quads,back|shoulders,beginner,push,Perform controlled reps for quads focus.,
415,Calves Variation 410,secondary_compound,cable,calves,legs|arms,intermediate,pull,Perform controlled reps for calves focus.,
416,Chest Variation 411,isolation,machine,chest,shoulders|core,advanced,squat,Perform controlled reps for chest focus.,
417,Back Variation 412,core,kettlebell,back,arms|glutes,beginner,hinge,Perform controlled reps for back focus.,
418,Legs Variation 413,compound,resistance_band,legs,core|hamstrings,intermediate,lunge,Perform controlled reps for legs focus.,
419,Shoulders Variation 414,secondary_compound,none,shoulders,glutes|quads,advanced,carry,Perform controlled reps for shoulders focus.,
420,Arms Variation 415,isolation,barbell,arms,hamstrings|calves,beginner,rotation,Perform controlled reps for arms focus.,
421,Core Variation 416,core,dumbbell,core,quads|chest,intermediate,brace,Perform controlled reps for core focus.,
422,Glutes Variation 417,compound,cable,glutes,calves|back,advanced,push,Perform controlled reps for glutes focus.,
423,Hamstrings Variation 418,secondary_compound,machine,hamstrings,chest|legs,beginner,pull,Perform controlled reps for hamstrings focus.,
424,Quads Variation 419,isolation,kettlebell,quads,back|shoulders,intermediate,squat,Perform controlled reps for quads focus.,
425,Calves Variation 420,core,resistance_band,calves,legs|arms,advanced,hinge,Perform controlled reps for calves focus.,
426,Chest Variation 421,compound,none,chest,shoulders|core,beginner,lunge,Perform controlled reps for chest focus.,
427,Back Variation 422,secondary_compound,barbell,back,arms|glutes,intermediate,carry,Perform controlled reps for back focus.,
428,Legs Variation 423,isolation,dumbbell,legs,core|hamstrings,advanced,rotation,Perform controlled reps for legs focus.,
429,Shoulders Variation 424,core,cable,shoulders,glutes|quads,beginner,brace,Perform controlled reps for shoulders focus.,
430,Arms Variation 425,compound,machine,arms,hamstrings|calves,intermediate,push,Perform controlled reps for arms focus.,
431,Core Variation 426,secondary_compound,kettlebell,core,quads|chest,advanced,pull,Perform controlled reps for core focus.,
432,Glutes Variation 427,isolation,resistance_band,glutes,calves|back,beginner,squat,Perform controlled reps for glutes focus.,
433,Hamstrings Variation 428,core,none,hamstrings,chest|legs,intermediate,hinge,Perform controlled reps for hamstrings focus.,
434,Quads Variation 429,compound,barbell,quads,back|shoulders,advanced,lunge,Perform controlled reps for quads focus.,
435,Calves Variation 430,secondary_compound,dumbbell,calves,legs|arms,beginner,carry,Perform controlled reps for calves focus.,
436,Chest Variation 431,isolation,cable,chest,shoulders|core,intermediate,rotation,Perform controlled reps for chest focus.,
437,Back Variation 432,core,machine,back,arms|glutes,advanced,brace,Perform controlled reps for back focus.,
438,Legs Variation 433,compound,kettlebell,legs,core|hamstrings,beginner,push,Perform controlled reps for legs focus.,
439,Shoulders Variation 434,secondary_compound,resistance_band,shoulders,glutes|quads,intermediate,pull,Perform controlled reps for shoulders focus.,
440,Arms Variation 435,isolation,none,arms,hamstrings|calves,advanced,squat,Perform controlled reps for arms focus.,
441,Core Variation 436,core,barbell,core,quads|chest,beginner,hinge,Perform controlled reps for core focus.,
442,Glutes Variation 437,compound,dumbbell,glutes,calves|back,intermediate,lunge,Perform controlled reps for glutes focus.,
443,Hamstrings Variation 438,secondary_compound,cable,hamstrings,chest|legs,advanced,carry,Perform controlled reps for hamstrings focus.,
444,Quads Variation 439,isolation,machine,quads,back|shoulders,beginner,rotation,Perform controlled reps for quads focus.,
445,Calves Variation 440,core,kettlebell,calves,legs|arms,intermediate,brace,Perform controlled reps for calves focus.,
446,Chest Variation 441,compound,resistance_band,chest,shoulders|core,advanced,push,Perform controlled reps for chest focus.,
447,Back Variation 442,secondary_compound,none,back,arms|glutes,beginner,pull,Perform controlled reps for back focus.,
448,Legs Variation 443,isolation,barbell,legs,core|hamstrings,intermediate,squat,Perform controlled reps for legs focus.,
449,Shoulders Variation 444,core,dumbbell,shoulders,glutes|quads,advanced,hinge,Perform controlled reps for shoulders focus.,
450,Arms Variation 445,compound,cable,arms,hamstrings|calves,beginner,lunge,Perform controlled reps for arms focus.,
451,Core Variation 446,secondary_compound,machine,core,quads|chest,intermediate,carry,Perform controlled reps for core focus.,
452,Glutes Variation 447,isolation,kettlebell,glutes,calves|back,advanced,rotation,Perform controlled reps for glutes focus.,
453,Hamstrings Variation 448,core,resistance_band,hamstrings,chest|legs,beginner,brace,Perform controlled reps for hamstrings focus.,
454,Quads Variation 449,compound,none,quads,back|shoulders,intermediate,push,Perform controlled reps for quads focus.,
455,Calves Variation 450,secondary_compound,barbell,calves,legs|arms,advanced,pull,Perform controlled reps for calves focus.,
456,Chest Variation 451,isolation,dumbbell,chest,shoulders|core,beginner,squat,Perform controlled reps for chest focus.,
457,Back Variation 452,core,cable,back,arms|glutes,intermediate,hinge,Perform controlled reps for back focus.,
458,Legs Variation 453,compound,machine,legs,core|hamstrings,advanced,lunge,Perform controlled reps for legs focus.,
459,Shoulders Variation 454,secondary_compound,kettlebell,shoulders,glutes|quads,beginner,carry,Perform controlled reps for shoulders focus.,
460,Arms Variation 455,isolation,resistance_band,arms,hamstrings|calves,intermediate,rotation,Perform controlled reps for arms focus.,
461,Core Variation 456,core,none,core,quads|chest,advanced,brace,Perform controlled reps for core focus.,
462,Glutes Variation 457,compound,barbell,glutes,calves|back,beginner,push,Perform controlled reps for glutes focus.,
463,Hamstrings Variation 458,secondary_compound,dumbbell,hamstrings,chest|legs,intermediate,pull,Perform controlled reps for hamstrings focus.,
464,Quads Variation 459,isolation,cable,quads,back|shoulders,advanced,squat,Perform controlled reps for quads focus.,
465,Calves Variation 460,core,machine,calves,legs|arms,beginner,hinge,Perform controlled reps for calves focus.,
466,Chest Variation 461,compound,kettlebell,chest,shoulders|core,intermediate,lunge,Perform controlled reps for chest focus.,
467,Back Variation 462,secondary_compound,resistance_band,back,arms|glutes,advanced,carry,Perform controlled reps for back focus.,
468,Legs Variation 463,isolation,none,legs,core|hamstrings,beginner,rotation,Perform controlled reps for legs focus.,
469,Shoulders Variation 464,core,barbell,shoulders,glutes|quads,intermediate,brace,Perform controlled reps for shoulders focus.,
470,Arms Variation 465,compound,dumbbell,arms,hamstrings|calves,advanced,push,Perform controlled reps for arms focus.,
471,Core Variation 466,secondary_compound,cable,core,quads|chest,beginner,pull,Perform controlled reps for core focus.,
472,Glutes Variation 467,isolation,machine,glutes,calves|back,intermediate,squat,Perform controlled reps for glutes focus.,
473,Hamstrings Variation 468,core,kettlebell,hamstrings,chest|legs,advanced,hinge,Perform controlled reps for hamstrings focus.,
474,Quads Variation 469,compound,resistance_band,quads,back|shoulders,beginner,lunge,Perform controlled reps for quads focus.,
475,Calves Variation 470,secondary_compound,none,calves,legs|arms,intermediate,carry,Perform controlled reps for calves focus.,
476,Chest Variation 471,isolation,barbell,chest,shoulders|core,advanced,rotation,Perform controlled reps for chest focus.,
477,Back Variation 472,core,dumbbell,back,arms|glutes,beginner,brace,Perform controlled reps for back focus.,
478,Legs Variation 473,compound,cable,legs,core|hamstrings,intermediate,push,Perform controlled reps for legs focus.,
479,Shoulders Variation 474,secondary_compound,machine,shoulders,glutes|quads,advanced,pull,Perform controlled reps for shoulders focus.,
480,Arms Variation 475,isolation,kettlebell,arms,hamstrings|calves,beginner,squat,Perform controlled reps for arms focus.,
481,Core Variation 476,core,resistance_band,core,quads|chest,intermediate,hinge,Perform controlled reps for core focus.,
482,Glutes Variation 477,compound,none,glutes,calves|back,advanced,lunge,Perform controlled reps for glutes focus.,
483,Hamstrings Variation 478,secondary_compound,barbell,hamstrings,chest|legs,beginner,carry,Perform controlled reps for hamstrings focus.,
484,Quads Variation 479,isolation,dumbbell,quads,back|shoulders,intermediate,rotation,Perform controlled reps for quads focus.,
485,Calves Variation 480,core,cable,calves,legs|arms,advanced,brace,Perform controlled reps for calves focus.,
486,Chest Variation 481,compound,machine,chest,shoulders|core,beginner,push,Perform controlled reps for chest focus.,
487,Back Variation 482,secondary_compound,kettlebell,back,arms|glutes,intermediate,pull,Perform controlled reps for back focus.,
488,Legs Variation 483,isolation,resistance_band,legs,core|hamstrings,advanced,squat,Perform controlled reps for legs focus.,
489,Shoulders Variation 484,core,none,shoulders,glutes|quads,beginner,hinge,Perform controlled reps for shoulders focus.,
490,Arms Variation 485,compound,barbell,arms,hamstrings|calves,intermediate,lunge,Perform controlled reps for arms focus.,
491,Core Variation 486,secondary_compound,dumbbell,core,quads|chest,advanced,carry,Perform controlled reps for core focus.,
492,Glutes Variation 487,isolation,cable,glutes,calves|back,beginner,rotation,Perform controlled reps for glutes focus.,
493,Hamstrings Variation 488,core,machine,hamstrings,chest|legs,intermediate,brace,Perform controlled reps for hamstrings focus.,
494,Quads Variation 489,compound,kettlebell,quads,back|shoulders,advanced,push,Perform controlled reps for quads focus.,
495,Calves Variation 490,secondary_compound,resistance_band,calves,legs|arms,beginner,pull,Perform controlled reps for calves focus.,
496,Chest Variation 491,isolation,none,chest,shoulders|core,intermediate,squat,Perform controlled reps for chest focus.,
497,Back Variation 492,core,barbell,back,arms|glutes,advanced,hinge,Perform controlled reps for back focus.,
498,Legs Variation 493,compound,dumbbell,legs,core|hamstrings,beginner,lunge,Perform controlled reps for legs focus.,
499,Shoulders Variation 494,secondary_compound,cable,shoulders,glutes|quads,intermediate,carry,Perform controlled reps for shoulders focus.,
500,Arms Variation 495,isolation,machine,arms,hamstrings|calves,advanced,rotation,Perform controlled reps for arms focus.,
501,Core Variation 496,core,kettlebell,core,quads|chest,beginner,brace,Perform controlled reps for core focus.,
502,Glutes Variation 497,compound,resistance_band,glutes,calves|back,intermediate,push,Perform controlled reps for glutes focus.,
503,Hamstrings Variation 498,secondary_compound,none,hamstrings,chest|legs,advanced,pull,Perform controlled reps for hamstrings focus.,
504,Quads Variation 499,isolation,barbell,quads,back|shoulders,beginner,squat,Perform controlled reps for quads focus.,
505,Calves Variation 500,core,dumbbell,calves,legs|arms,intermediate,hinge,Perform controlled reps for calves focus.,
506,Chest Variation 501,compound,cable,chest,shoulders|core,advanced,lunge,Perform controlled reps for chest focus.,
507,Back Variation 502,secondary_compound,machine,back,arms|glutes,beginner,carry,Perform controlled reps for back focus.,
508,Legs Variation 503,isolation,kettlebell,legs,core|hamstrings,intermediate,rotation,Perform controlled reps for legs focus.,
509,Shoulders Variation 504,core,resistance_band,shoulders,glutes|quads,advanced,brace,Perform controlled reps for shoulders focus.,
510,Arms Variation 505,compound,none,arms,hamstrings|calves,beginner,push,Perform controlled reps for arms focus.,
511,Core Variation 506,secondary_compound,barbell,core,quads|chest,intermediate,pull,Perform controlled reps for core focus.,
512,Glutes Variation 507,isolation,dumbbell,glutes,calves|back,advanced,squat,Perform controlled reps for glutes focus.,
513,Hamstrings Variation 508,core,cable,hamstrings,chest|legs,beginner,hinge,Perform controlled reps for hamstrings focus.,
514,Quads Variation 509,compound,machine,quads,back|shoulders,intermediate,lunge,Perform controlled reps for quads focus.,
515,Calves Variation 510,secondary_compound,kettlebell,calves,legs|arms,advanced,carry,Perform controlled reps for calves focus.,
516,Chest Variation 511,isolation,resistance_band,chest,shoulders|core,beginner,rotation,Perform controlled reps for chest focus.,
517,Back Variation 512,core,none,back,arms|glutes,intermediate,brace,Perform controlled reps for back focus.,
